date,close,high,low,pivot,resistance
2024-02-12 00:00:00,19577.171432,19786.8157,19557.244307,19640.137505333336,19787.45264066667
2024-02-13 00:00:00,19326.308043,19614.022963,19154.061254,19640.410479666665,19723.57665233333
2024-02-14 00:00:00,19516.025187,19530.765799,19293.005177,19364.79742,19575.533586
2024-02-15 00:00:00,19605.014811,19619.482449,19414.478744,19446.598721,19600.192265
2024-02-16 00:00:00,19350.056807,19682.539515,19342.959475,19546.325334666664,19678.17192533333
2024-02-19 00:00:00,19423.486896,19443.959969,19355.243319,19458.518599,19574.077723
2024-02-20 00:00:00,19198.283092,19428.127459,19056.336452,19407.563394666668,19459.88347033333
2024-02-21 00:00:00,19337.499989,19351.694653,18969.257647,19227.58233433333,19398.828216666665
2024-02-22 00:00:00,19679.809772,19749.145246,19300.375483,19219.48409633333,19469.71054566666
2024-02-23 00:00:00,19611.29322,19812.202311,19595.187736,19576.44350033333,19852.511517666662
2024-02-26 00:00:00,19598.463428,19719.118072,19568.982202,19672.89442233333,19750.60110866667
2024-02-27 00:00:00,19667.525928,19698.09905,19554.514564,19628.85456733333,19688.726932666665
2024-02-28 00:00:00,19501.830523,19675.715157,19486.270987,19640.046514,19725.578464
2024-02-29 00:00:00,19731.401916,19773.712934,19464.160068,19554.605555666665,19622.94012433333
2024-03-01 00:00:00,20004.649198,20061.15488,19686.361155,19656.424972666664,19848.689877333327
2024-03-04 00:00:00,19920.846086,20066.614366,19909.927113,19917.388411,20148.415666999997
2024-03-05 00:00:00,19635.860908,19929.308289,19471.2574,19965.795855000004,20021.664597000006
2024-03-06 00:00:00,19698.09905,19844.413279,19591.366096,19678.808865666662,19886.360331333333
2024-03-07 00:00:00,19931.492084,20047.23319,19562.157845,19711.29280833333,19831.21952066667
2024-03-08 00:00:00,19715.296432,20130.763329,19667.798902,19846.96103966667,20131.764234333332
2024-03-11 00:00:00,19653.331264,19728.672173,19534.58744,19837.95288766667,20008.10687333334
2024-03-12 00:00:00,19896.820797,19918.364645,19576.894655,19638.86362566667,19743.139811333334
2024-03-13 00:00:00,19772.405075,19935.330425,19692.962136,19797.36003233333,20017.825409666668
2024-03-14 00:00:00,19676.265653,19850.770822,19563.160451,19800.23254533333,19907.502954666663
2024-03-15 00:00:00,19457.864894,19737.127024,19396.19563,19696.732308666666,19830.304166333324
2024-03-18 00:00:00,19634.793746,19799.873481,19456.518404,19530.39584933333,19664.59606866667
2024-03-19 00:00:00,19683.536702,19701.041079,19446.823672,19630.39521033333,19804.272016666662
2024-03-20 00:00:00,19973.301457,19976.533034,19634.524448,19610.467151,19774.110630000003
2024-03-21 00:00:00,20013.96547,20153.192588,19956.874273,19861.45297966667,20088.381511333337
2024-03-22 00:00:00,19996.730392,20063.785619,19919.441837,20041.34411033333,20125.813947666666
2024-03-25 00:00:00,19964.145322,20037.125107,19836.228725,19993.319282666664,20067.19672833333
2024-03-26 00:00:00,19906.515529,20056.245272,19862.619938,19945.83305133333,20055.43737766667
2024-03-27 00:00:00,19933.983935,20005.347931,19797.1805,19941.793579666668,20020.967221333336
2024-03-28 00:00:00,19890.357643,19969.800582,19871.506776,19912.170788666663,20027.16107733333
2024-04-01 00:00:00,19925.635694,20048.704925,19835.959426,19910.555000333334,19949.60322466667
2024-04-02 00:00:00,19760.555959,19939.908493,19606.517446,19936.766681666664,20037.573937333327
2024-04-03 00:00:00,19807.14453,19876.084843,19639.91041,19768.993966,19931.470485999995
2024-04-04 00:00:00,19467.559626,20001.30846,19448.978057,19774.37992766667,19908.849445333337
2024-04-05 00:00:00,19724.470013,19829.226974,19444.938586,19639.282047666667,19829.58603833333
2024-04-08 00:00:00,19725.008609,19794.487519,19645.296372,19666.211857666665,19887.48512933333
2024-04-09 00:00:00,19803.912953,19828.149782,19562.621855,19721.5975,19797.898628
2024-04-10 00:00:00,19596.553416,19900.321672,19447.092971,19731.56153,19900.501205
2024-04-11 00:00:00,19912.440087,19948.256734,19484.256108,19647.989353,19848.885735
2024-04-12 00:00:00,19575.278866,19936.407618,19518.995563,19781.65097633333,20079.04584466666
2024-04-15 00:00:00,19254.814127,19767.288411,19218.728182,19676.89401566667,19834.792468333337
2024-04-16 00:00:00,19275.280783,19376.536868,19165.407158,19413.61024,19608.492298
2024-04-17 00:00:00,19026.718637,19355.531617,18975.013402,19272.408269666663,19379.409381333324
2024-04-18 00:00:00,18882.644154,19142.51682,18857.59943,19119.08788533333,19263.16236866666
2024-04-19 00:00:00,18505.357516,18908.227473,18434.262818,18960.920134666667,19064.24083933333
2024-04-22 00:00:00,18683.902156,18794.852973,18472.23385,18615.949269,18797.63572
2024-04-23 00:00:00,19019.447588,19029.680916,18620.617103,18650.329659666662,18828.42546933333
2024-04-24 00:00:00,18858.676623,19169.177332,18831.208217,18889.915202333334,19159.213301666667
2024-04-25 00:00:00,19191.798372,19203.647488,18644.315335,18953.020724,19074.833231
2024-04-26 00:00:00,19213.611518,19283.359726,19032.104599,19013.253731666668,19382.192128333336
2024-04-29 00:00:00,19294.670246,19334.526365,19164.599264,19176.35861433333,19320.61262966667
2024-04-30 00:00:00,18860.023113,19303.557083,18822.321379,19264.598625,19364.597986000004
2024-05-01 00:00:00,18823.66787,19166.753649,18742.339844,18995.300525,19168.279671
2024-05-02 00:00:00,19112.624731,19125.820338,18728.336342,18910.920454333333,19079.501064666667
2024-05-03 00:00:00,19416.931583,19443.592095,19087.310709,18988.927137,19249.51793200001
2024-05-06 00:00:00,19589.282367,19606.248147,19371.958801,19315.944795666663,19544.57888233333
2024-05-07 00:00:00,19602.477974,19676.265653,19552.119229,19522.49643833333,19673.034075666663
2024-05-08 00:00:00,19562.621855,19650.413036,19467.559626,19610.287618666665,19668.45600833333
2024-05-09 00:00:00,19627.253399,19648.258651,19501.221889,19560.198172333334,19652.83671866667
2024-05-10 00:00:00,19647.181459,19764.326132,19592.513944,19592.244646333336,19683.267403666672
2024-05-13 00:00:00,19697.540203,19751.669121,19635.870938,19668.00717833333,19743.50041266666
2024-05-14 00:00:00,19831.650657,19855.887486,19567.738519,19695.026754,19754.182570000004
2024-05-15 00:00:00,20137.573298,20151.038203,19812.79979,19751.758887333333,19935.779255666668
2024-05-16 00:00:00,20076.981226,20208.937295,20071.595264,20033.803763666667,20254.807737333333
2024-05-17 00:00:00,20072.13386,20129.225057,19976.533034,20119.171261666663,20166.747259333333
2024-05-20 00:00:00,20192.240812,20245.292538,20071.325966,20059.297317,20142.0616
2024-05-21 00:00:00,20249.870606,20260.64253,20119.799624,20169.619772,20267.913578000003
2024-05-22 00:00:00,20268.721473,20349.241604,20126.532076,20210.10425333333,20300.40888266667
2024-05-23 00:00:00,20128.955759,20491.700299,20058.938253,20248.165051,20369.798026
2024-05-24 00:00:00,20327.428458,20386.943338,20121.954008,20226.531437,20394.124621000003
2024-05-27 00:00:00,20413.60385,20419.25911,20287.303042,20278.775268,20435.596527999995
2024-05-28 00:00:00,20413.334552,20445.650324,20272.222348,20373.388667333333,20459.474292666662
2024-05-29 00:00:00,20193.856601,20412.526658,20186.585552,20377.069074666662,20481.915801333333
2024-05-30 00:00:00,20031.469847,20237.213595,19977.879525,20264.322937,20342.060322
2024-05-31 00:00:00,20004.270739,20109.296998,19649.335843,20082.18765566667,20186.495786333337
2024-06-03 00:00:00,20102.833843,20203.282034,19858.849765,19920.96786,20192.599877
2024-06-04 00:00:00,20150.499607,20200.858352,19940.177791,20054.98854733333,20251.127329666662
2024-06-05 00:00:00,20560.640613,20564.141488,20139.458385,20097.17858333333,20254.179375666663
